"account_id","region","source_service","resource_type","resource_name","resource_arn","finding_type","finding_issue_code","finding_description","finding_link","policy_type","policy_file_name"
"737767487588","eu-central-1","s3","AWS::S3::Bucket","applicationbucket-737767487588","arn:aws:s3:::applicationbucket-737767487588","SECURITY_WARNING","PUBLIC_ACCESS","The resource policy grants public access for the given resource type.","https://docs.aws.amazon.com/access-analyzer/latest/APIReference/API_CheckNoPublicAccess.html","s3_bucket_policies","737767487588_eu-central-1_s3_AWS_S3_Bucket_applicationbucket-737767487588_0.json"
"737767487588","eu-central-1","s3","AWS::S3::Bucket","share-737767487588","arn:aws:s3:::share-737767487588","ERROR","MISSING_TAG_KEY_IN_CONDITION","The condition key aws:PrincipalTag must include a tag-key to control access based on tags. Use the format aws:PrincipalTag/tag-key and specify a key name for tag-key.","https://docs.aws.amazon.com/IAM/latest/UserGuide/access-analyzer-reference-policy-checks.html#access-analyzer-reference-policy-checks-error-missing-tag-key-in-condition","s3_bucket_policies","737767487588_eu-central-1_s3_AWS_S3_Bucket_share-737767487588_0.json"
"737767487588","us-east-1","iam","AWS::IAM::AssumeRolePolicyDocument","TemporaryAdminRole","arn:aws:iam::737767487588:role/TemporaryAdminRole","SUGGESTION","EMPTY_OBJECT_CONDITION","This condition block is empty and it does not affect the policy. Specify conditions.","https://docs.aws.amazon.com/IAM/latest/UserGuide/access-analyzer-reference-policy-checks.html#access-analyzer-reference-policy-checks-suggestion-empty-object-condition","iam_role_trust_policies","737767487588_us-east-1_iam_AWS_IAM_AssumeRolePolicyDocument_TemporaryAdminRole_0.json"
"737767487588","us-east-1","iam","AWS::IAM::AssumeRolePolicyDocument","TemporaryAdminRole","arn:aws:iam::737767487588:role/TemporaryAdminRole","SECURITY_WARNING","TRUSTED_OUTSIDE_PRINCIPAL","The policy trusts principals outside the analyzed AWS account. A review is recommended to determine whether this is the desired setup. Trusted principals: ['arn:aws:iam::251094496418:root']","https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies-cross-account-resource-access.html","iam_role_trust_policies"," 737767487588_us-east-1_iam_AWS_IAM_AssumeRolePolicyDocument_TemporaryAdminRole_0.json"
"737767487588","us-east-1","iam","AWS::IAM::AssumeRolePolicyDocument","rds-monitoring-role","arn:aws:iam::737767487588:role/rds-monitoring-role","SUGGESTION","EMPTY_SID_VALUE","Add a value to the empty string in the Sid element.","https://docs.aws.amazon.com/IAM/latest/UserGuide/access-analyzer-reference-policy-checks.html#access-analyzer-reference-policy-checks-suggestion-empty-sid-value","iam_role_trust_policies","737767487588_us-east-1_iam_AWS_IAM_AssumeRolePolicyDocument_rds-monitoring-role_0.json"
"737767487588","us-east-1","iam","AWS::IAM::Role","TemporaryAdminRole:allow_lambda_access","arn:aws:iam::737767487588:role/TemporaryAdminRole","SECURITY_WARNING","PASS_ROLE_WITH_STAR_IN_RESOURCE","Using the iam:PassRole action with wildcards (*) in the resource can be overly permissive because it allows iam:PassRole permissions on multiple resources. We recommend that you specify resource ARNs or add the iam:PassedToService condition key to your statement.","https://docs.aws.amazon.com/IAM/latest/UserGuide/access-analyzer-reference-policy-checks.html#access-analyzer-reference-policy-checks-security-warning-pass-role-with-star-in-resource","iam_role_trust_policies","737767487588_us-east-1_iam_AWS_IAM_Role_TemporaryAdminRole_allow_lambda_access_0.json"
"251094496418","ap-southeast-1","sns","AWS::SNS::Topic","swarmhost-notification","arn:aws:sns:ap-southeast-1:251094496418:swarmhost-notification","SUGGESTION","REDUNDANT_ACTION","The 2 action(s) are redundant because they provide similar permissions. Update the policy to remove the redundant action such as: SNS:Subscribe.","https://docs.aws.amazon.com/IAM/latest/UserGuide/access-analyzer-reference-policy-checks.html#access-analyzer-reference-policy-checks-suggestion-redundant-action","sns_topic_policies","251094496418_ap-southeast-1_sns_AWS_SNS_Topic_swarmhost-notification_0.json"
"251094496418","ap-southeast-1","sns","AWS::SNS::Topic","swarmhost-notification","arn:aws:sns:ap-southeast-1:251094496418:swarmhost-notification","SECURITY_WARNING","TRUSTED_OUTSIDE_PRINCIPAL","The policy trusts principals outside the analyzed AWS account. A review is recommended to determine whether this is the desired setup. Trusted principals: ['arn:aws:iam::737767487588:root']","https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies-cross-account-resource-access.html","sns_topic_policies","251094496418_ap-southeast-1_sns_AWS_SNS_Topic_swarmhost-notification_0.json"
"251094496418","us-east-1","iam","AWS::IAM::AssumeRolePolicyDocument","EC2RoleForSSM","arn:aws:iam::251094496418:role/EC2RoleForSSM","SUGGESTION","EMPTY_SID_VALUE","Add a value to the empty string in the Sid element.","https://docs.aws.amazon.com/IAM/latest/UserGuide/access-analyzer-reference-policy-checks.html#access-analyzer-reference-policy-checks-suggestion-empty-sid-value","iam_role_trust_policies","251094496418_us-east-1_iam_AWS_IAM_AssumeRolePolicyDocument_EC2RoleForSSM_0.json"
"251094496418","us-east-1","iam","AWS::IAM::AssumeRolePolicyDocument","SwimBikeRunRole","arn:aws:iam::251094496418:role/SwimBikeRunRole","SUGGESTION","EMPTY_OBJECT_CONDITION","This condition block is empty and it does not affect the policy. Specify conditions.","https://docs.aws.amazon.com/IAM/latest/UserGuide/access-analyzer-reference-policy-checks.html#access-analyzer-reference-policy-checks-suggestion-empty-object-condition","iam_role_trust_policies","251094496418_us-east-1_iam_AWS_IAM_AssumeRolePolicyDocument_SwimBikeRunRole_0.json"
